"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"14","Assam","District Tinsukia (14), Assam (18)","1150062","601099","548963","19.52","926105","223957","31315","2.72","218885","5","913","957","67234","5.85","588302","355444","232858","60.95","70.15","50.78","588302","15110","166316","143102","109758","129043","24927","122241","291138","673125","63558","466351","349847","116504","683711",NA,"13229",NA,"5549",NA,"3389",NA,"1029142",NA,"62403",NA,"40000","1.Kachari etc.","36460","2.Miri","17203","3.Deori","6861","(MB)","85563",NA,"24049",NA,"20553","1107","1107","1104","871","810","11","936","246","86","7","198","23","69","222","400","694","1032","33.6","25.6","40.8"
"15","Assam","District Dibrugarh (15), Assam (18)","1185072","613555","571517","12.43","956634","228438","48024","4.05","228574","5","931","962","88337","7.45","698148","406265","291883","68.96","77.3","59.95","698148","17173","166630","148411","130235","193998","41634","114701","286303","717048","67020","472419","342708","129711","712653",NA,"26388",NA,"3715",NA,"3202",NA,"1075878",NA,"53306",NA,"45040","1.Kachari etc.","67311","2.Miri","9332","3.Mech","4301","(MB)","121893",NA,"23763",NA,"19021","1309","1309","1309","1195","1169","30","1169","382","177","9","263","36","97","300","497","459","1205","33.6","29.5","36.9"
"16","Assam","District Sibsagar (16), Assam (18)","1051736","545476","506260","15.95","954557","97179","35759","3.4","207185","5","928","967","41533","3.95","672158","382936","289222","74.47","81.53","66.81","672158","10554","153864","131634","145992","198390","31707","101065","246805","637480","66386","430523","287319","143204","621213",NA,"27419",NA,"1182",NA,"1159",NA,"927706",NA,"85761",NA,"28488","1.Miri","23849","2.Kachari etc.","8072","3.Deori","3860","(MB)","53854",NA,"17502",NA,"13047","866","866","861","772","766","15","825","464","243","7","317","33","76","303","429","441","815","26.9","43.8","29.3"
"17","Assam","District Jorhat (17), Assam (18)","999221","517015","482206","15.84","827901","171320","78663","7.87","195691","5","933","967","123134","12.32","660591","375400","285191","76.34","83.62","68.49","660591","17323","150497","126171","123591","201640","41283","89501","231611","615001","63108","414348","285092","129256","584873",NA,"64309",NA,"4131",NA,"2460",NA,"927858",NA,"47658",NA,"18610","1.Miri","92058","2.Kachari etc.","20784","3.Boro etc.","4787","(MB)","67588",NA,"20997",NA,"7545","787","787","785","650","635","23","717","421","268","31","215","30","67","294","382","443","772","28.6","42.1","29.2"
"18","Assam","District Golaghat (18), Assam (18)","946279","490286","455993","14.21","865141","81138","51169","5.41","181692","5","930","963","93920","9.93","557360","322048","235312","69.38","77.14","60.99","557360","10935","160261","124707","116314","123363","21774","94890","242820","557331","51238","388640","269896","118744","557639",NA,"39993",NA,"5131",NA,"1579",NA,"813263",NA,"74808",NA,"52277","1.Miri","47539","2.Boro etc.","26106","3.Kachari etc.","15844","(MB)","33064",NA,"13446",NA,"9922","1066","1066","1064","595","575","14","769","305","139","23","87","40","14","292","528","501","1007","15.9","40.5","43.4"
"19","Assam","District Karbi Anglong (19), Assam (18)","813311","422250","391061","22.57","721381","91930","29520","3.63","144334","6","926","973","452963","55.69","382574","232652","149922","57.7","67.22","47.3","382574","10917","129961","97842","71385","63345","9112","98925","229355","444027","41004","330480","231638","98842","482831","1.Namasudra","12525","2.Kaibartta etc.","8524","3.Patni","1617","1.Hindus","670139","2.Christians","117738","3.Muslims","18091","1.Mikir","345540","2.Dimasa etc.","46095","3.Garo","20604","1.Diphu (TC)","52310","2.Bokajan (TC)","14219","3.Hamren (TC)","8445","2633","2633","1943","780","733","50","1209","392","79","4","72","36","6","184","510","899","1706","8.2","13.5","78.4"
"20","Assam","District North Cachar Hills (20), Assam (18)","188079","99822","88257","23.47","128644","59435","3360","1.79","37294","5","884","955","128428","68.28","106354","63610","42744","67.62","75.67","58.39","106354","2577","27696","26167","20031","25701","4126","20887","47952","110469","8771","70199","55031","15168","117880","1.Generic Castes etc.","847","2.Patni","575","3.Bhuinmali etc.","524","1.Hindus","131492","2.Christians","50183","3.Muslims","4662","1.Dimasa etc.","64881","2.Any Naga Tribes etc.","17078","3.Any Kuki Tribes etc.","16757","1.Haflong (TC)","36302","2.Umrangso (TC)","9131","3.Maibong (TC)","7738","605","605","473","197","190","1","565","164","39","2","67","15","-","78","146","160","387","17.6","23.4","59"
"21","Assam","District Cachar (21), Assam (18)","1444921","743042","701879","18.66","1243534","201387","208235","14.41","273694","5","945","960","18631","1.29","824437","474145","350292","67.82","75.73","59.41","824437","12737","264692","210291","152273","149889","34464","155307","361097","830268","98249","465734","364814","100920","979187",NA,"78699",NA,"44099",NA,"39823",NA,"886761",NA,"522051",NA,"31306","1.Barmans in Cachar","10908","2.Kachari etc.","6875","3.Generic Tribes etc.","499","(MB)","142199",NA,"10007",NA,"9802","1020","1020","945","741","715","52","902","381","155","17","134","26","11","310","381","396","927","18.6","28.8","52.6"
"22","Assam","District Karimganj (22), Assam (18)","1007976","517680","490296","21.35","934126","73850","130957","12.99","179141","6","947","965","2901","0.29","550119","319205","230914","66.24","74.69","57.28","550119","8988","206569","145859","89941","81460","17096","120430","268874","549498","69174","303294","235016","68278","704682",NA,"45482",NA,"25613",NA,"23176",NA,"527214",NA,"470708",NA,"8746","1.Barmans in Cachar","1838","2.Kachari etc.","607","3.Generic Tribes etc.","339","(MB)","52613",NA,"11297",NA,"9940","915","915","908","639","622","4","865","347","99","9","224","20","52","408","614","409","849","19.2","21","59.7"
"23","Assam","District Hailakandi (23), Assam (18)","542872","280513","262359","20.92","498787","44085","59251","10.91","97856","6","935","926","821","0.15","263547","155674","107873","59.64","68.24","50.46","263547","5089","88603","70326","54660","36681","8151","68971","148309","292595","32997","179881","138216","41665","362991",NA,"27026",NA,"12604",NA,"5840",NA,"312849",NA,"223191",NA,"5424","1.Barmans in Cachar","733","2.Kachari etc.","66","3.Boro etc.","10","(MB)","29739",NA,"10270",NA,NA,"327","327","308","268","263","14","308","206","60","-","110","8","7","135","141","115","288","15.9","21.7","62.3"
